,is_genuine,diagonal,height_left,height_right,margin_low,margin_up,length,y_pred,proba
72,True,171.94,103.89,103.45,4.06495360609374,3.25,112.79,1,0.9976943243856227
99,True,171.93,104.07,104.18,4.111990264316223,3.14,113.08,1,0.998126686442908
151,True,172.07,103.8,104.38,4.134003282968299,3.02,112.93,1,0.9969800755553828
197,True,171.45,103.66,103.8,3.9935707444742237,3.62,113.27,1,0.9886187199846138
241,True,171.83,104.14,104.06,4.140399295628818,3.02,112.36,1,0.9648485629568524
251,True,171.8,103.26,102.82,4.094283922228682,2.95,113.22,1,0.9999989288496137
284,True,171.92,103.83,103.76,4.074124317833804,3.23,113.29,1,0.9997438005281037
334,True,171.85,103.7,103.96,4.125389988904318,3.0,113.36,1,0.9999591319977118
410,True,172.56,103.72,103.51,4.080727801627576,3.12,112.95,1,0.9996992219402385
413,True,172.3,103.66,103.5,4.073633224172122,3.16,112.95,1,0.999578262469632
445,True,172.34,104.42,103.22,4.118972548264347,3.01,112.97,1,0.9999588605801502
481,True,171.81,103.53,103.96,4.1803797756484595,2.71,113.99,1,0.9999999415135888
505,True,172.01,103.97,104.05,4.13648423271524,2.98,113.65,1,0.99999195109146
611,True,171.8,103.68,103.49,4.0510684156013195,3.3,112.84,1,0.9970190527888911
654,True,171.97,103.69,103.54,4.178376849214612,2.7,112.79,1,0.9999791276478114
675,True,171.6,103.85,103.91,4.2255510447656786,2.56,113.27,1,0.9999988345356202
710,True,172.03,103.97,103.86,4.115868451385744,3.07,112.65,1,0.9954909408573742
739,True,172.07,103.74,103.76,4.1028410068585845,3.09,112.41,1,0.9841032171826835
742,True,172.14,104.06,103.96,4.081843456012141,3.24,113.07,1,0.9977563249384452
780,True,172.41,103.95,103.79,4.092762375426594,3.13,113.41,1,0.9999462584678479
798,True,171.96,103.84,103.62,4.112501923960316,3.01,114.44,1,0.999999982524299
844,True,171.62,104.14,104.49,4.1571762259869445,2.99,113.35,1,0.9997216221117252
845,True,172.02,104.21,104.05,4.160287873548793,2.9,113.62,1,0.9999951049973291
